ppd_id,PlanName,PlanFullName,StateAbbrev,StateName,GovtName,PlanType,fy,fye,MktAssets_net,InvestmentReturn_1yr,ActFundedRatio_GASB
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2001.0,2001-09-30,7.236735e+06,-0.0636,1.002
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2002.0,2002-09-30,6.424435e+06,-0.0929,0.954
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2003.0,2003-09-30,7.222812e+06,0.1648,0.911
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2004.0,2004-09-30,7.795598e+06,0.1006,0.897
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2005.0,2005-09-30,8.464515e+06,0.1098,0.84
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2006.0,2006-09-30,9.001867e+06,0.0837,0.811
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2007.0,2007-09-30,1.0401218e+07,0.1792,0.79
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2008.0,2008-09-30,8.647705e+06,-0.1521,0.757
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2009.0,2009-09-30,7.679005e+06,-0.1003,0.722
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2010.0,2010-09-30,8.176732e+06,0.0847,0.682
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2011.0,2011-09-30,8.130435e+06,0.0221,0.658
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2012.0,2012-09-30,9.188696e+06,0.1801,0.657
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2013.0,2013-09-30,1.009194e+07,0.146,0.657
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2014.0,2014-09-30,1.0883952e+07,0.1202,0.669
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2015.0,2015-09-30,1.0551904e+07,0.0105,0.673
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2016.0,2016-09-30,1.1177074e+07,0.1022,0.662
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2017.0,2017-09-30,1.2122471e+07,0.1286,0.678
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2018.0,2018-09-30,1.2720352e+07,0.0929,0.687
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2019.0,2019-09-30,1.2568473e+07,0.0278,0.682
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2020.0,2020-09-30,1.3150538e+07,0.0583,0.682
1,Alabama ERS,Employees’ Retirement System of Alabama,AL,Alabama,Alabama,1,2021.0,2021-09-30,1.5479476e+07,0.2218,0.677
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2001.0,2001-09-30,1.5814533e+07,-0.0605,1.014
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2002.0,2002-09-30,1.4167952e+07,-0.0781,0.974
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2003.0,2003-09-30,1.568562e+07,0.1598,0.936
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2004.0,2004-09-30,1.6853148e+07,0.1071,0.896
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2005.0,2005-09-30,1.8168524e+07,0.1126,0.836
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2006.0,2006-09-30,1.9207804e+07,0.0882,0.828
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2007.0,2007-09-30,2.191875e+07,0.1746,0.795
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2008.0,2008-09-30,1.8100388e+07,-0.1536,0.776
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2009.0,2009-09-30,1.6120988e+07,-0.0794,0.747
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2010.0,2010-09-30,1.7037672e+07,0.0842,0.711
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2011.0,2011-09-30,1.6752218e+07,0.0181,0.675
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2012.0,2012-09-30,1.8950126e+07,0.183,0.665
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2013.0,2013-09-30,2.0820372e+07,0.1493,0.662
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2014.0,2014-09-30,2.2441308e+07,0.1213,0.675
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2015.0,2015-09-30,2.1747732e+07,0.0104,0.683
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2016.0,2016-09-30,2.2936298e+07,0.1041,0.683
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2017.0,2017-09-30,2.4651456e+07,0.1177,0.689
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2018.0,2018-09-30,2.5935432e+07,0.0942,0.702
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2019.0,2019-09-30,2.5619448e+07,0.0263,0.694
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2020.0,2020-09-30,2.5946388e+07,0.0562,0.707
2,Alabama Teachers,Teachers' Retirement System of Alabama,AL,Alabama,Alabama,2,2021.0,2021-09-30,3.056193e+07,0.2262,0.702
3,Alaska PERS,State of Alaska Public Employees’ Retirement System,AK,Alaska,Alaska,1,2001.0,2001-06-30,5.796189e+06,-0.0525,1.009
3,Alaska PERS,State of Alaska Public Employees’ Retirement System,AK,Alaska,Alaska,1,2002.0,2002-06-30,5.323757e+06,-0.0548,0.752
3,Alaska PERS,State of Alaska Public Employees’ Retirement System,AK,Alaska,Alaska,1,2003.0,2003-06-30,5.31839e+06,0.0367,0.728
3,Alaska PERS,State of Alaska Public Employees’ Retirement System,AK,Alaska,Alaska,1,2004.0,2004-06-30,5.880443e+06,0.1508,0.702
3,Alaska PERS,State of Alaska Public Employees’ Retirement System,AK,Alaska,Alaska,1,2005.0,2005-06-30,6.122064e+06,0.0895,0.657
3,Alaska PERS,State of Alaska Public Employees’ Retirement System,AK,Alaska,Alaska,1,2006.0,2006-06-30,6.56815e+06,0.1174,0.782
3,Alaska PERS,State of Alaska Public Employees’ Retirement System,AK,Alaska,Alaska,1,2007.0,2007-06-30,7.439387e+06,0.1888,0.778
3,Alaska PERS,State of Alaska Public Employees’ Retirement System,AK,Alaska,Alaska,1,2008.0,2008-06-30,6.935808e+06,-0.0306,0.788
