ppd_id,PlanName,StateAbbrev,fy,size_rank,latest_MktAssets_net,status,batch
9,California PERF,CA,2001.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2002.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2003.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2004.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2005.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2006.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2007.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2008.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2009.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2010.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2011.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2012.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2013.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2014.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2015.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2016.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2017.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2018.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2019.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2020.0,1.0,4.7732275e+08,pending,
9,California PERF,CA,2021.0,1.0,4.7732275e+08,pending,
10,California Teachers,CA,2001.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2002.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2003.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2004.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2005.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2006.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2007.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2008.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2009.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2010.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2011.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2012.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2013.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2014.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2015.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2016.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2017.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2018.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2019.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2020.0,2.0,3.1029344e+08,pending,
10,California Teachers,CA,2021.0,2.0,3.1029344e+08,pending,
83,NY State & Local ERS,NY,2001.0,3.0,2.2058058e+08,pending,
83,NY State & Local ERS,NY,2002.0,3.0,2.2058058e+08,pending,
83,NY State & Local ERS,NY,2003.0,3.0,2.2058058e+08,pending,
83,NY State & Local ERS,NY,2004.0,3.0,2.2058058e+08,pending,
83,NY State & Local ERS,NY,2005.0,3.0,2.2058058e+08,pending,
83,NY State & Local ERS,NY,2006.0,3.0,2.2058058e+08,pending,
83,NY State & Local ERS,NY,2007.0,3.0,2.2058058e+08,pending,
83,NY State & Local ERS,NY,2008.0,3.0,2.2058058e+08,pending,
